wallet,raw_score,credit_score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1.1355609442263262e-17,471
0x000000000051d07a4fb3bd10121a343d85818da6,8.232816845640864e-07,471
0x000000000096026fb41fc39f9875d164bd82e2dc,2.8389023605658148e-11,471
0x0000000000e189dd664b9ab08a33c4839953852c,0.0,471
0x0000000002032370b971dabd36d72f3e5a7bf1ee,0.0005370843190812771,472
0x000000000a38444e0a6e37d3b630d7e855a7cb13,0.14932924168917533,647
0x000000003853fcedcd0355fec98ca3192833f00b,2.5792559369045695e-10,471
0x000000003ce0cf2c037493b1dc087204bd7f713e,0.0021386557374139244,473
0x000000007858e6f2668e1e06111cfa24403a5466,5.260343778562109e-10,471
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1.020552467356028e-20,471
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,0.15401043499881684,652
0x00000029ff545c86524ade7caf132527707948c4,0.16453109374655045,665
0x00000087c4cebffb95746d1935de7fbcab092f40,0.008494101622058969,481
0x000000e28faa823d5b53ff6c2922c28335840375,0.11792365732941165,610
0x000006eee6e39015cb523aebdd4d0b1855aba682,0.07437822223512525,559
0x00000a9c78912badb92d73b6ed26456e11def5eb,9.595768191143789e-21,471
0x00001bc47f0973f794f79c16121cee879e272d6a,0.0,471
0x00002b503a75998c97508916a74fdb41934fa030,0.1081106170714861,598
0x0000897253cc85f7547317eb2080b36b3255687a,8.216781122701792e-10,471
0x0000b252c943089fbba5554a1d196ef79bc77e4f,6.3018408824217655e-21,471
0x0000ce08fa224696a819877070bf378e8b131acf,1.4194511813884187e-08,471
0x00010a708585ba4812a1c5976182626c75cb7a6b,0.14936333332702975,647
0x00016fc0c9f7620e920e1423fd455f9574f48025,7.184122595154827e-11,471
0x0002761e848b24046a53d494847b11a3e1d36b09,5.7234055773537036e-09,471
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,5.7370753246155235e-21,471
0x0003816b25fd3d6c112eb65c089760fa3f791947,0.14918627516618968,647
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,1.0333604593730714e-07,471
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,5.9618400932324935e-18,471
0x0003f46779806fe779e7f30eec95dbdb4d45840b,0.1070813294457719,597
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,0.1506100065459989,648
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,4.802816150628707e-09,471
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,0.14915802808770204,647
0x0005696d4be2359526c497fe4a4c0620b41f2426,0.1491703861451673,647
0x000660cad76200a2e326f53e033919905e6c50f5,6.045567488528768e-21,471
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,7.381146137471119e-09,471
0x00080000158a9930aeb508823103b0a977161c47,1.703341416339489e-08,471
0x00099b1263c22ae2ce0a52624cef2a012e751970,2.675719776896159e-11,471
0x0009ce45d5df78e632a0b4987079432dfba2253a,2.3278999356639685e-10,471
0x000a27ba176083e4b50177378cbe7469a00dd557,0.1492345849921121,647
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,0.0001094763214979025,471
0x000ab43e658935ba39504a1424b01756c1e9644c,5.67780472113163e-10,471
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,1.249238510431689e-06,471
0x000c8e2871750f458bf1de8ab528dda09bc95db6,0.149243053213401,647
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,0.14155656994352,638
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,0.14956230888254915,647
