wallet,num_transactions,total_deposit,total_borrow,total_repay,total_redeem,num_liquidations,repay_ratio,borrow_deposit_ratio,liquidation_rate
0x001b024b98ee862aa01eea595c4c16a0213d2611,2,4.1189765583527866e+17,500000000.0,0.0,0.0,0,0.0,1.2138937741368312e-09,0.0
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,32,3.914713099487479e+19,234424601.0,234555105.0,331228407.0,0,1.0005566992518844,5.988295822513564e-12,0.0
0x001bc97d92e1a30b02d4e75be25f06063555d556,45,1.1484504979413797e+23,54452832761.0,54495849398.0,9.91851932296773e+22,0,1.0007899797828481,4.74141748892162e-13,0.0
0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,6240750099327031.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,2.0000000000000097e+18,0.0,0.0,0.0,0,0.0,0.0,0.0
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,6461144026105417.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,1109087.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,18485.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,6,9.189004126574749e+20,0.0,0.0,3e+20,0,0.0,0.0,0.0
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,23783.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,1,0.0,0.0,0.0,2012030942630.0,0,0.0,0.0,0.0
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,1.1352405889685976e+18,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,4440486156185637.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x002379916ac42a432f3b53f16782d33267debb4c,1,1.5e+18,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,2200000.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,14997724.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,4999194.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,1.2625001510457944e+16,0.0,0.0,0.0,0,0.0,0.0,0.0
0x0024461e7a8ce7157866eaa4c24b702d328250ce,1,0.0,0.0,0.0,1012775168.0,0,0.0,0.0,0.0
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,2.5e+16,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00246f7813397868b1beec56e1677efa47816dae,44,3.0379081544958256e+21,2.3568e+21,2.3593073098584406e+21,3.0388794748478696e+21,0,1.001063861956229,0.7757969892908553,0.0
0x0025a856d01a898bd52286d56c52323b13937b65,1,1e+17,0.0,0.0,0.0,0,0.0,0.0,0.0
0x00261d225db379b3fc74cd0228d6f90582d39035,2,3.42e+16,5000000000000000.0,0.0,0.0,0,0.0,0.14619883040935672,0.0
0x00262ffcfda82b5582d1905ca05b849f196b0419,10,101169192.0,57074003.0,57090279.0,101180778.0,0,1.0002851736192395,0.5641441022875818,0.0
